,sentence
262,Er worden loopbruggen voorzien voor toegang tot de gebouwen en rijplaten voor eventueel de garageboxen.
263,Bewonersbrief Spoorweglaan .pdf 162.7 kB Bewonersbrief opgemaakt en verdeeld door Fluvius.
264,Lezingen en leesclubs in de Wilrijkse bibliotheek In het najaar van 2024 ontvangt Bibliotheek Bist heel wat schrijvers...
265,Jazzmuziek op vinyl in Bibliotheek Bist De Wilrijkse Bibliotheek Bist heeft een boon voor jazzmuziek.
266,"Het district vernieuwde de rotonde, fietspaden en de aansluiting met omliggende straten."
267,De rotonde werd weer volledig vrijgegeven zodat het fietsers- en autoverkeer opnieuw in alle richtingen kan passeren.
268,De komende dagen zal de aannemer het rondpunt nog afwerken met de nodige markeringen zodra de weersomstandigheden dit toelatingen.
269,Deze afwerking zal geen impact hebben op de toegankelijkheid van de rotonde.
270,Bij het vernieuwen van de rotonde willen we in eerste instantie de veiligheid van alle weggebruikers verhogen.
271,"Want steeds vaker krijgen we te kampen met hevigere regenbuien, aanhoudende droogteperiodes en meer hitte."
272,Deze extreme weersomstandigheden gaan we in de toekomst vaker meemaken.
273,"Heel simpel; door minder verharding, meer groen in je straat en meer opvang van water."
274,Rondom de rotonde worden nieuwe plantvakken aangelegd voor extra groen.
275,Bestaande toestand rotonde Berkenrijslaan. 1|3 Nieuwe toestand rotonde Berkenrijslaan. 1|3 Verklaring ontwerp nieuwe toestand. 1|3 Fasering en bereikbaarheid De werken worden uitgevoerd in 2 fasen.
276,Alle data zijn onder voorbehoud van de weerscondities en onvoorziene omstandigheden.
277,Er wordt een omleiding voorzien voor doorgaand verkeer via de Krijgsbaan.
278,Voor plaatselijk verkeer is een doorgang mogelijk langs de werf door middel van tijdelijke verkeerslichten.
279,Voor plaatselijk verkeer is een enkelrichting doorgang mogelijk langs de werf vanuit de Berkenrijslaan richting Pastoor Bauwenslaan en Bosheidelaan.
280,Verhalen in alle talen Kinderen vanaf 4 jaar zijn welkom om te komen luisteren naar de mooiste verhalen in een andere taal (en het Nederlands).
281,"Boekstart Ontdek boekjes samen met je baby of peuter (6 maanden tot 2,5 jaar)."
282,Zorgbeurs op 2 oktober met Leen Dendievel en Twiggy Bossuyt Op woensdag 2 oktober vindt in het districtshuis van Wilrijk een zorgbeurs plaats.
283,"Leen Dendievel praat over psychische kwetsbaarheid, veerkracht en angst."
284,Bossuyt schreef hierover het boek ’Dag’ en wil het taboe om hierover te praten doorbreken.
285,Claeys is naast filosofisch docent ook bekend als muziekprogrammator en dj.
286,"Verwacht veel vragen, maar nog veel meer antwoorden tijdens deze uiteenzetting."
287,"Boydens, hofarts en coach, begeleidt al vele jaren patiënten met burn-out."
288,De juiste aansturing en steun en goede werkrelaties maken dat een werknemer graag en gemotiveerd gaat werken.
289,Het districtscollege van Wilrijk bestaat uit de districtsburgemeester en vier districtsschepenen.
290,Agenda en besluiten | districtscollege Wilrijk Het districtscollege van Wilrijk vergadert in principe elke week op maandagavond.
291,Zo kunnen zij goed inschatten wat de lokale noden en mogelijkheden zijn en hoe ze daarop best kunnen inspelen.
292,Beslissingen De beslissingen van de districtsraad zijn openbaar en elektronisch beschikbaar.
293,"Aan elke districtsraad gaat een openbare raadscommissie vooraf, om de bespreking en de besluitvorming in de districtsraad voor te bereiden."
294,Agenda en besluiten | districtsraad Wilrijk De districtsraad van Wilrijk vergadert elke eerste donderdag van de maan...
295,"Naar startpagina antwerpen.be Om verder te gaan, dient u JavaScript te activeren."
296,Op 29 april 2024 keurde de gemeenteraad het nieuwe terrasreglement goed.
297,Dit heeft gevolgen voor alle bestaande toelatingen en nieuwe aanvragen.
298,Situatie Check of jouw terras voldoet aan de bepalingen van het nieuwe reglement .
299,"In het Felixarchief , hier kan je bouwtoelatingen opvragen, afgeleverd voor 1962."
300,"Als je geen omgevingsvergunning/stedenbouwkundige vergunning terug vindt met de functie dancing, restaurant, café (DARECA) of detailhandel (waar horeca is toegelaten) voor jouw pand, kan je een ‘ statusrapport functie pand terrastoelating ’ aanvragen."
301,Dit formulier is enkel bedoeld voor panden waarbij de vergunde functie onduidelijk is.
302,Start aanvraag terrastoelating Regelgeving Terrasreglement Algemeen Het terrasreglement is van toepassing op het volledige grondgebied van de stad Antwerpen.
303,Terrassen dienen steeds te voldoen aan de bepalingen opgenomen in dit reglement.
304,Dit is van toepassing op alle bestaande terrastoelatingen en alle nieuwe aanvragen.
305,Het kan niet als stockage ruimte gebruikt worden voor terraselementen gedurende de winter bijvoorbeeld.
306,Deze elementen moeten los staan en ze moeten met maximum 2 personen kunnen worden verplaatst.
307,"Als er in de terrastoelating werd opgenomen dat er geen afbakeningen mogen staan, mag elke terraszijde voor maximaal de helft van die zijde wel worden omsloten door terraselementen."
308,Dwz dat enkel de plug waarin bouten van een vloerplaat of kruis geschroefd worden chemisch verankerd mogen worden en dat de constructie verder (kruis of voet) bovenop de bestaande verharding/straat wordt geplaatst.
309,Alle andere vormen van verankering zijn niet toegestaan tenzij dat er daarvoor een definitieve omgevingsvergunning voor werd afgeleverd.
310,Terrasreglement stad Antwerpen (1 mei 2024) (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
311,"Strategische horecakernen Straten waar veel terrassen gegroepeerd voorkomen, worden strategische horecakernen genoemd."
312,"Ligt het terras in een strategische horecakern, dan kunnen er bijzondere specifieke reglementen en plannen gelden."
313,Hieronder een overzicht per kern en per straat met bijhorend specifiek reglement en plan.
314,Zoneringsplan Anneessensstraat/Breydelstraat/Statiestraat (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
315,Zoneringsplan De Keyserlei (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
316,Zoneringsplan Napoleonkaai (PDF) Kern Historisch Centrum Specifiek reglement strategische horecazone 'Historisch Centrum' (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
317,Deelgebied 1 (Handschoenmarkt/Blauwmoezelstraat/Tempelstraat) (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
318,Deelgebied 1 (Oude Koornmarkt/Jan Blomstraat/Papenstraatje) (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
319,Deelgebied 2 (Groenplaats/Eiermarkt) (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
320,Deelgebied 3 (Grote Markt/Kaasrui) (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
321,"Deelgebied 4 (Grote Pieter Potstraat, Haarstraat) (PDF) Moeilijk leesbaar voor mensen met een visuele beperking."
322,"Deelgebied 4 (Zand, Stoofstraat) (PDF) Moeilijk leesbaar voor mensen met een visuele beperking."
323,Deelgebied 4 (Hoogstraat) (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
324,Deelgebied 5 (Hendrik Conscienceplein/Hoofdkerkstraat/Wijngaardstraat/Leeuw Van Vlaanderenstraat/Wolstraat/Jezuïetenrui) (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
325,Deelgebied 6 (Melkmarkt/Sint-Pieterstraat/Lijnwaadmarkt/Torfbrug) (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
326,Deelgebied 7 (Nationalestraat) (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
327,Deelgebied 7 (Prekerplein) (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
328,Deelgebied 7 (Ijzerenwaag/ Theodoor van Rijswijckplaats) (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
329,Deelgebied 8 (Sint-Jansvliet) (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
330,Deelgebied 8 (Pelgrimstraat) (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
331,Deelgebied 9 (Suikerrui) (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
332,Deelgebied 10 (Vrijdagmarkt) (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
333,Zoneringsplan LangeLobroekstraat (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
334,Zoneringsplan Stadswaag (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
335,Zoneringsplan Paardenmarkt (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
336,Zoneringsplan Wapper (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
337,Zoneringsplan Draakplaats (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
338,Zoneringsplan Tramplein (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
339,Er vinden wegenwerken plaats waardoor ik mijn terras niet kan plaatsen.
340,In principe wordt je steeds op voorhand op de hoogte gebracht dat het terras voor een bepaalde periode niet kan geplaatst worden.
341,"Indien na de werken het terras kan geplaatst worden volgens de reeds vergunde afmetingen, dan ontvang je een tijdelijke schorsing."
342,"Na afloop van de werken kan je jouw terras opnieuw plaatsen, zonder dat je hiervoor een nieuwe toelating moet aanvragen."
343,"Indien na de werken het terras niet meer kan geplaatst worden volgens de vergunde afmetingen, dan ontvang je een verval van rechtswege."
344,Na afloop van de werken zal je dan opnieuw een toelating bij ons moeten aanvragen alvorens je een terras kan plaatsen.
345,"Je kan bij werken, waarbij je je terras tijdelijk niet kan plaatsen, in aanmerking komen voor bepaalde steunmaatregelen ."
346,Verankeren van afbakeningen of van overkappingen is toegestaan als dit omkeerbaar is.
347,Toelatingen die dateren van voor 01/04/2008 zijn sowieso niet meer geldig.
348,"Ik wens niet langer gebruik te maken van mijn terras, wat dien ik te ondernemen?"
349,Zodoende kan de stopzetting geregistreerd worden (en kan het nodige gedaan worden ivm terrastaks).
350,"Al het terrasmeubilair (tafels, stoelen, parasols, afbakeningen, …) en eventuele elementen van verankering dienen van het openbaar domein verwijderd te worden."
351,Ik neem een bestaande horecazaak met een bestaande terrastoelating over.
352,"Een terrastoelating is steeds gekoppeld aan een onderneming, niet aan een pand."
353,Doe je dit omdat je al leiding bent in een jeugdvereniging of omdat je bijvoorbeeld een attest animator in het jeugdwerk wil behalen?
354,Bij district Wilrijk kan je na het volgen van vorming een stuk van het deelnamegeld terugbetaald krijgen.
355,Misschien geeft deze vorm van ondersteuning jou wel het duwtje in de rug om de stap te nemen en je in te schrijven.
356,Een vormingsondersteuning wordt toegekend aan jongeren die een cursus jeugdwerk gevolgd hebben (voorwaarden zie reglement onderaan deze pagina).
357,"Jonge inwoners van Wilrijk (van 15 tot 30 jaar); leden (van 15 tot 30 jaar) van een erkende Wilrijkse jeugdvereniging, maar die niet in de stad Antwerpen wonen."
358,"Leden die in één van de andere Antwerpse districten wonen, dienen een aanvraag in bij hun eigen district; Erkende Wilrijkse jeugdverenigingen die het inschrijvingsgeld hebben voorgeschoten voor hun leden/begeleiders."
359,Deze regeling geldt ook voor de houders van een afsprakennota of samenwerking met stad Antwerpen of district Wilrijk die zelf geen (kader)vorming organiseren.
360,"Cursussen/vormingsmomenten die worden georganiseerd door landelijk erkend jeugdwerk (erkend door afdeling jeugd van de Vlaamse overheid), o.a."
361,"Vlaamse Dienst Speelpleinwerk ( VDS ) , JES , Jeugd Rode Kruis , Tumult , Uit de marge , Roots vzw of Formaat ."
362,"Cursussen/vormingsmomenten die worden georganiseerd door een erkende jeugdwerkpartner van stad Antwerpen; Vormingsmomenten van de eigen jeugdkoepel of federatie (Scouts & Gidsen Vlaanderen, Chiro, Roots, enz.)."
363,Aanvraag (én terugbetaling) enkel mogelijk na het volgen van de vorming; Enkel digitaal via de Verenigingendatabank van stad Antwerpen.
364,"Wacht hier dus niet te lang mee, want te laat ingediende aanvragen worden niet meer aanvaard; Zorg dat jet het ""attest van deelname"" van de organisator van de vorming ontvangen hebt, want dit moet bij de aanvraag worden toegevoegd."
365,In elk district zijn er jeugddiensten en organisaties op zoek naar enthousiaste jongeren die animator willen worden.
366,"De ondersteuning kleine jeugdevenementen is een financiële stimulans, dat mogelijke duwtje in de rug, om je evenement realiteit te laten worden."
367,"Een evenement is een activiteit afgebakend in tijd en ruimte, gaat door in district Wilrijk en richt zich in de eerste plaats op jongeren."
368,Verder zijn er de nodige voorwaarden van toepassing voor de beoordeling van een evenement en een aanvraag.
369,"Alle details zijn te lezen in het reglement, te vinden onderaan deze pagina."
370,Wil je een activiteit van je vereniging extra pit geven met sport- of spelmateriaal?
371,Bij jeugddienst Wilrijk kunnen verenigingen een heleboel spelmateriaal gratis ontlenen.
372,Vlakbij dienstencentrum Van Schoonbeke vindt u ook serviceflats Creutz en Olvam .
373,Verkorte aanvraag Wil je een eenvoudig/kleinschalig evenement organiseren op je horecaterras?
374,"Een korte aanvraag is mogelijk als je voldoet aan bepaalde voorwaarden, die je in het document hieronder kan nalezen."
375,"Alles wat je extra wil plaatsen (vb. een tapwagen, foodtruck, muziekinstallatie) loopt via een volledige aanvraag."
376,Voorwaarden verkorte aanvraag evenemententerras 2024 (PDF) Moeilijk leesbaar voor mensen met een visuele beperking.
377,Je evenement zal altijd het open karakter van het horecaterras moeten bewaren en je moet ervoor zorgen dat de openbare orde en veiligheid niet in het gedrang komt.
378,Voorwaarden volledige aanvraag evenemententerras (PDF) Dien een volledige aanvraag in via een evenemententoelating Opgelet!
379,Dan moet je geen wekelijkse sluitingsdag voorzien en mag je elke zondag openen.
380,Sluitingstijden toeristische zone Eerste zondag van de maand Promotiemateriaal Antwerp is Open aanvragen Ondersteuning handelaarsverenigingen Personeel op zondag Welk gebied is erkend als toeristische zone?
381,Hier het toeristisch centrum in kaart gebracht Sluitingstijden toeristische zone In het toeristische stadscentrum gelden andere sluitingstijden voor winkels.
382,Vraag gratis je promotiepakket aan Ondersteuning handelaarsverenigingen Wil je zelf activiteiten organiseren tijdens de koopzondag?
383,Voorwaarden Je zaak zich bevindt in de afgebakende zone die erkend is als toeristisch centrum.
